 Eq_grac, T
 0.92477692, 0.
 0.92447807, 100.
 0.92377885, 200.
 0.92214294, 300.
 0.91831549, 400.
 0.9093606, 500.
 0.88840932, 600.
 0.83939072, 700.
 0.72470451, 800.
 0.45637929, 900.
 0.36954159, 920.
 0.26661246, 940.
 0.14461005, 960.
 0, 980.
 0, 1000.
