0.000000000000000000e+00,2.600000000000000000e+01
5.000000074505805969e-02,2.135477142333984375e+02
1.000000014901161194e-01,2.180536193847656250e+02
1.500000059604644775e-01,2.189236450195312500e+02
2.000000029802322388e-01,2.192753295898437500e+02
2.000000029802322388e-01,2.192753295898437500e+02
8.322473317384719849e-01,2.186792297363281250e+02
1.464494660496711731e+00,2.174483337402343750e+02
2.096741989254951477e+00,2.204433135986328125e+02
2.598221734166145325e+00,4.058884582519531250e+02
2.598361447453498840e+00,4.151184387207031250e+02
2.608895972371101379e+00,6.031065673828125000e+02
2.609218314290046692e+00,1.070798706054687500e+03
2.619510844349861145e+00,7.701240844726562500e+02
2.619857266545295715e+00,3.637433837890625000e+03
2.630213454365730286e+00,1.072753540039062500e+03
2.630474045872688293e+00,4.271476074218750000e+03
3.262721493840217590e+00,5.548591918945312500e+02
3.894968703389167786e+00,4.098460998535156250e+02
4.527216151356697083e+00,3.613415222167968750e+02
5.159463599324226379e+00,3.341878356933593750e+02
5.257978633046150208e+00,3.303499145507812500e+02
5.257978633046150208e+00,3.303499145507812500e+02
5.457978636026382446e+00,3.236983337402343750e+02
5.457978636026382446e+00,3.236983337402343750e+02
6.457978636026382446e+00,3.017257080078125000e+02
7.457978636026382446e+00,2.856236877441406250e+02
8.457978636026382446e+00,2.732351074218750000e+02
9.457978636026382446e+00,2.634050903320312500e+02
1.045797863602638245e+01,2.554107666015625000e+02
1.145797863602638245e+01,2.487687530517578125e+02
1.245797863602638245e+01,2.431437683105468750e+02
1.345797863602638245e+01,2.382973327636718750e+02
1.445797863602638245e+01,2.340561981201171875e+02
1.545797863602638245e+01,2.302923126220703125e+02
1.645797863602638245e+01,2.269097747802734375e+02
1.745797863602638245e+01,2.238358459472656250e+02
1.745797863602638245e+01,2.238358459472656250e+02
1.750797863677144051e+01,2.162875213623046875e+02
1.755797863751649857e+01,2.194984436035156250e+02
1.760797864198684692e+01,2.203413848876953125e+02
1.765797863900661469e+01,2.206907043457031250e+02
1.765797863900661469e+01,2.206907043457031250e+02
1.829022876918315887e+01,2.201165161132812500e+02
1.892247889935970306e+01,2.192913970947265625e+02
