1.484955190405249596e+03,2.600000000000000000e+01
1.484955190405249596e+03,2.753068542480468750e+02
1.484955190405249596e+03,2.808520202636718750e+02
1.484955190405249596e+03,2.816799926757812500e+02
1.484955190405249596e+03,2.818259277343750000e+02
1.484955190405249596e+03,2.818259277343750000e+02
1.485087996095418930e+03,2.830805969238281250e+02
1.485220801785588264e+03,2.981803283691406250e+02
1.485353607490658760e+03,4.100595092773437500e+02
1.485424275651574135e+03,7.848484497070312500e+02
1.485424573883414268e+03,4.796831542968750000e+03
1.485433759942650795e+03,1.134666259765625000e+03
1.485434109792113304e+03,3.482531738281250000e+03
1.485443553641438484e+03,1.171539306640625000e+03
1.485443849727511406e+03,1.443357788085937500e+03
1.485576655432581902e+03,8.130543212890625000e+02
1.485709461137652397e+03,6.406533203125000000e+02
1.485842266783118248e+03,5.729151611328125000e+02
1.485934786602854729e+03,5.421860351562500000e+02
1.485935133561491966e+03,5.420710449218750000e+02
1.486017635926604271e+03,5.216505737304687500e+02
1.486017635926604271e+03,5.216505737304687500e+02
1.486217635929584503e+03,4.907076416015625000e+02
1.486217635929584503e+03,4.907076416015625000e+02
1.487217635929584503e+03,4.263431396484375000e+02
1.488217635929584503e+03,3.883748779296875000e+02
1.489217635929584503e+03,3.618883972167968750e+02
1.490217635929584503e+03,3.416213989257812500e+02
1.491217635929584503e+03,3.251457519531250000e+02
1.492217635929584503e+03,3.111739501953125000e+02
1.493217635929584503e+03,2.989661560058593750e+02
1.494217635929584503e+03,2.880706787109375000e+02
1.494217635929584503e+03,2.880706787109375000e+02
1.494267635930329561e+03,2.777521057128906250e+02
1.494317635931074619e+03,2.816874084472656250e+02
1.494367635935544968e+03,2.824864196777343750e+02
1.494417635932564735e+03,2.826327514648437500e+02
1.494417635932564735e+03,2.826327514648437500e+02
1.494548797354102135e+03,2.838010559082031250e+02
1.494679958775639534e+03,3.018103027343750000e+02
1.494811120197176933e+03,4.015290832519531250e+02
1.494883076325058937e+03,6.462600708007812500e+02
1.494883199736475945e+03,6.775052490234375000e+02
1.494894410029053688e+03,8.406402587890625000e+02
1.494894716784358025e+03,1.670657226562500000e+03
1.494905968174338341e+03,9.520485839843750000e+02
1.494906291857361794e+03,3.197115722656250000e+03
1.494917197600007057e+03,1.163072021484375000e+03
1.494917415007948875e+03,1.846219604492187500e+03
1.495048576429486275e+03,8.224575195312500000e+02
1.495179737880825996e+03,6.432117309570312500e+02
1.495310899272561073e+03,5.766601562500000000e+02
1.495442060723900795e+03,5.378316650390625000e+02
1.495466927304863930e+03,5.312106323242187500e+02
1.495466927304863930e+03,5.312106323242187500e+02
1.495666927307844162e+03,4.980895385742187500e+02
1.495666927307844162e+03,4.980895385742187500e+02
1.496666927307844162e+03,4.297557373046875000e+02
1.497666927307844162e+03,3.903367919921875000e+02
1.498666927307844162e+03,3.633016052246093750e+02
1.499666927307844162e+03,3.428095397949218750e+02
1.500666927307844162e+03,3.262324829101562500e+02
1.501666927307844162e+03,3.122109680175781250e+02
1.502666927307844162e+03,2.999768676757812500e+02
1.503666927307844162e+03,2.890663757324218750e+02
1.503666927307844162e+03,2.890663757324218750e+02
1.503716927308589220e+03,2.800156555175781250e+02
1.503766927309334278e+03,2.827582397460937500e+02
1.503816927313804626e+03,2.834902954101562500e+02
1.503866927310824394e+03,2.836274108886718750e+02
1.503866927310824394e+03,2.836274108886718750e+02
1.503998085975646973e+03,2.852040710449218750e+02
1.504129244640469551e+03,3.072702636718750000e+02
1.504260403290390968e+03,4.344155273437500000e+02
1.504335986778140068e+03,7.459772338867187500e+02
1.504336222514510155e+03,1.114304321289062500e+03
1.504347118809819221e+03,9.902534790039062500e+02
1.504347369089722633e+03,1.285394775390625000e+03
1.504358569964766502e+03,9.858009033203125000e+02
