1.860578670058113948e+00,5.696202119064152924e+01,0.000000000000000000e+00
1.186057867005811417e+01,2.559742993461136678e+02,0.000000000000000000e+00
1.674421443495637263e+01,3.531646472715080449e+02,0.000000000000000000e+00
1.693036094658427970e+01,3.583319792288665440e+02,0.000000000000000000e+00
1.711650745821218678e+01,3.634993111862249862e+02,0.000000000000000000e+00
1.730265396984009385e+01,3.686666431435834852e+02,0.000000000000000000e+00
1.748880048146800092e+01,3.738339751009419274e+02,0.000000000000000000e+00
1.767494699309590800e+01,3.790013070583004264e+02,0.000000000000000000e+00
1.786109350472381507e+01,3.841686390156588686e+02,0.000000000000000000e+00
1.804724001635172215e+01,3.893359709730173677e+02,0.000000000000000000e+00
1.823338652797962922e+01,3.945033029303758099e+02,0.000000000000000000e+00
1.841953303960753630e+01,3.996706348877343089e+02,0.000000000000000000e+00
1.860567955123544337e+01,4.048379668450927511e+02,0.000000000000000000e+00
1.879182606286335044e+01,4.100052988024512501e+02,0.000000000000000000e+00
1.897797257449125752e+01,4.151726307598096923e+02,0.000000000000000000e+00
1.916411908611916459e+01,4.203399627171681914e+02,0.000000000000000000e+00
1.935026559774707167e+01,4.255072946745266336e+02,0.000000000000000000e+00
1.953641210937497874e+01,4.306746266318851326e+02,0.000000000000000000e+00
1.972255862100288581e+01,4.358419585892436316e+02,0.000000000000000000e+00
1.990870513263079289e+01,4.410092905466020738e+02,0.000000000000000000e+00
2.009485164425869996e+01,4.461766225039605160e+02,0.000000000000000000e+00
2.028099815588660704e+01,4.513439544613190151e+02,0.000000000000000000e+00
2.046714466751451411e+01,4.565112864186775141e+02,0.000000000000000000e+00
2.065329117914242119e+01,4.616786183760359563e+02,0.000000000000000000e+00
2.083943769077032826e+01,4.668459503333944554e+02,0.000000000000000000e+00
2.102558420239823533e+01,4.720132822907528976e+02,0.000000000000000000e+00
2.121173071402614241e+01,4.771806142481113966e+02,0.000000000000000000e+00
2.139787722565404948e+01,4.823479462054698388e+02,0.000000000000000000e+00
2.158402373728195656e+01,4.875152781628283378e+02,0.000000000000000000e+00
2.177017024890986363e+01,4.926826101201868369e+02,0.000000000000000000e+00
2.195631676053777070e+01,4.978499420775452791e+02,0.000000000000000000e+00
2.214246327216567778e+01,5.030172740349037213e+02,0.000000000000000000e+00
2.232860978379358485e+01,5.081846059922622203e+02,0.000000000000000000e+00
2.251475629542149193e+01,5.133519379496207193e+02,0.000000000000000000e+00
2.270090280704939900e+01,5.185192699069791615e+02,0.000000000000000000e+00
2.288704931867730608e+01,5.236866018643376037e+02,0.000000000000000000e+00
2.307319583030521315e+01,5.288539338216960459e+02,0.000000000000000000e+00
2.325934234193312022e+01,5.340212657790546018e+02,0.000000000000000000e+00
2.344548885356102730e+01,5.391885977364130440e+02,0.000000000000000000e+00
2.363163536518893437e+01,5.443559296937714862e+02,0.000000000000000000e+00
2.381778187681684145e+01,5.495232616511300421e+02,0.000000000000000000e+00
2.400392838844474852e+01,5.546905936084884843e+02,0.000000000000000000e+00
2.419007490007265559e+01,5.598579255658469265e+02,0.000000000000000000e+00
2.437622141170056267e+01,5.650252575232054824e+02,0.000000000000000000e+00
2.456236792332846974e+01,5.701925894805639246e+02,0.000000000000000000e+00
2.474851443495637682e+01,5.753599214379223667e+02,0.000000000000000000e+00
2.493466094658428389e+01,5.805272533952808089e+02,0.000000000000000000e+00
2.512080745821219097e+01,5.856945853526392511e+02,0.000000000000000000e+00
2.530695396984009804e+01,5.908619173099978070e+02,0.000000000000000000e+00
2.549310048146800511e+01,5.960292492673562492e+02,0.000000000000000000e+00
2.567924699309591219e+01,6.011965812247146914e+02,0.000000000000000000e+00
2.586539350472381926e+01,6.063639131820732473e+02,0.000000000000000000e+00
2.604654001635167759e+01,6.113924476967017654e+02,0.000000000000000000e+00
